seed_type,seed,robot_count,implementation,device,time_seconds,paths_found
fixed,17341,5,sequential,cpu,0.7685922998934984,4
fixed,17341,5,parallel,cpu,0.1362671999959275,5
fixed,17341,5,parallel,cuda,0.24853720003739,5
fixed,28439,10,sequential,cpu,1.772325300029479,9
fixed,28439,10,parallel,cpu,0.16367359994910657,10
fixed,28439,10,parallel,cuda,0.11727140005677938,10
fixed,39563,20,sequential,cpu,3.092604300007224,20
fixed,39563,20,parallel,cpu,0.2936583999544382,20
fixed,39563,20,parallel,cuda,0.18130160006694496,20
fixed,48611,50,sequential,cpu,9.345250200014561,49
fixed,48611,50,parallel,cpu,0.8805041000014171,48
fixed,48611,50,parallel,cuda,0.6208419000031427,48
random,110151,5,sequential,cpu,0.8004554000217468,5
random,110151,5,parallel,cpu,0.07532070006709546,5
random,110151,5,parallel,cuda,0.047660999931395054,5
random,615885,10,sequential,cpu,1.7597362999804318,10
random,615885,10,parallel,cpu,0.15836130001116544,10
random,615885,10,parallel,cuda,0.14308529999107122,10
random,728362,20,sequential,cpu,3.152946799993515,18
random,728362,20,parallel,cpu,0.31794950005132705,19
random,728362,20,parallel,cuda,0.32301579997874796,19
random,139566,50,sequential,cpu,8.130668299971148,50
random,139566,50,parallel,cpu,0.7890174998901784,49
random,139566,50,parallel,cuda,0.632216400001198,49
